"campaignid","sample","longitude","latitude","depth","broad.seagrasses","date","id"
"2020-06_south-west_stereo-BRUVs","02",114.928838,-34.125316,44.4,1,"20200602","2020-06_south-west_stereo-BRUVs.02"
"2020-06_south-west_stereo-BRUVs","03",114.925945,-34.126906,39.3,1,"20200602","2020-06_south-west_stereo-BRUVs.03"
"2020-06_south-west_stereo-BRUVs","10",114.918685,-34.117294,45.7,1,"20200602","2020-06_south-west_stereo-BRUVs.10"
"2020-06_south-west_stereo-BRUVs","11",114.92306,-34.117752,45.08,1,"20200602","2020-06_south-west_stereo-BRUVs.11"
"2020-06_south-west_stereo-BRUVs","12",114.928545,-34.132262,40.1,2,"20200602","2020-06_south-west_stereo-BRUVs.12"
"2020-06_south-west_stereo-BRUVs","14",114.925457,-34.128381,35,5,"20200602","2020-06_south-west_stereo-BRUVs.14"
"2020-06_south-west_stereo-BRUVs","18",114.924078,-34.128679,35.8,1,"20200602","2020-06_south-west_stereo-BRUVs.18"
"2020-06_south-west_stereo-BRUVs","23",114.817017,-34.124217,51.3,1,"20200603","2020-06_south-west_stereo-BRUVs.23"
"2020-06_south-west_stereo-BRUVs","30",114.85946,-34.112094,42.9,1,"20200603","2020-06_south-west_stereo-BRUVs.30"
"2020-06_south-west_stereo-BRUVs","33",114.8627,-34.133067,43.6,1,"20200603","2020-06_south-west_stereo-BRUVs.33"
"2020-06_south-west_stereo-BRUVs","37",114.878937,-34.126354,41.2,1,"20200603","2020-06_south-west_stereo-BRUVs.37"
"2020-06_south-west_stereo-BRUVs","39",114.884797,-34.132294,42.2,2,"20200603","2020-06_south-west_stereo-BRUVs.39"
"2020-06_south-west_stereo-BRUVs","40",114.880443,-34.133669,41.2,2,"20200603","2020-06_south-west_stereo-BRUVs.40"
"2020-10_south-west_stereo-BRUVs","FH10",114.8863721,-33.98618897,42.9,5,"20201013","2020-10_south-west_stereo-BRUVs.FH10"
"2020-10_south-west_stereo-BRUVs","FH109",114.9088721,-33.91618897,45.9,7,"20201029","2020-10_south-west_stereo-BRUVs.FH109"
"2020-10_south-west_stereo-BRUVs","FH110",114.8213721,-33.80868897,44.7,1,"20201012","2020-10_south-west_stereo-BRUVs.FH110"
"2020-10_south-west_stereo-BRUVs","FH111",114.8788721,-33.98618897,41.4,3,"20201013","2020-10_south-west_stereo-BRUVs.FH111"
"2020-10_south-west_stereo-BRUVs","FH113",114.7963721,-33.72368897,45,12,"20201012","2020-10_south-west_stereo-BRUVs.FH113"
"2020-10_south-west_stereo-BRUVs","FH12",114.8963721,-33.91868897,46.1,4,"20201029","2020-10_south-west_stereo-BRUVs.FH12"
"2020-10_south-west_stereo-BRUVs","FH16",114.8563721,-33.90118897,43.1,8,"20201013","2020-10_south-west_stereo-BRUVs.FH16"
"2020-10_south-west_stereo-BRUVs","FH2",114.8913721,-33.91868897,43.9,7,"20201029","2020-10_south-west_stereo-BRUVs.FH2"
"2020-10_south-west_stereo-BRUVs","FH20",114.8738721,-33.78618897,43.1,1,"20201017","2020-10_south-west_stereo-BRUVs.FH20"
"2020-10_south-west_stereo-BRUVs","FH21",114.8088721,-33.79368897,45,5,"20201012","2020-10_south-west_stereo-BRUVs.FH21"
"2020-10_south-west_stereo-BRUVs","FH23",114.8288721,-33.94618897,44.2,10,"20201013","2020-10_south-west_stereo-BRUVs.FH23"
"2020-10_south-west_stereo-BRUVs","FH25",114.8163721,-33.87868897,45.4,5,"20201013","2020-10_south-west_stereo-BRUVs.FH25"
"2020-10_south-west_stereo-BRUVs","FH27",114.8713721,-33.83618897,42.9,1,"20201012","2020-10_south-west_stereo-BRUVs.FH27"
"2020-10_south-west_stereo-BRUVs","FH33",114.8263721,-33.70868897,42.3,5,"20201012","2020-10_south-west_stereo-BRUVs.FH33"
"2020-10_south-west_stereo-BRUVs","FH34",114.8838721,-33.78618897,44.8,2,"20201017","2020-10_south-west_stereo-BRUVs.FH34"
"2020-10_south-west_stereo-BRUVs","FH37",114.8138721,-33.71118897,44.2,1,"20201012","2020-10_south-west_stereo-BRUVs.FH37"
"2020-10_south-west_stereo-BRUVs","FH41",114.8388721,-33.67118897,44.1,14,"20201012","2020-10_south-west_stereo-BRUVs.FH41"
"2020-10_south-west_stereo-BRUVs","FH42",114.8113721,-33.88118897,45.7,6,"20201013","2020-10_south-west_stereo-BRUVs.FH42"
"2020-10_south-west_stereo-BRUVs","FH44",114.8638721,-33.77118897,43.3,10,"20201017","2020-10_south-west_stereo-BRUVs.FH44"
"2020-10_south-west_stereo-BRUVs","FH45",114.7988721,-33.69368897,47.6,4,"20201012","2020-10_south-west_stereo-BRUVs.FH45"
"2020-10_south-west_stereo-BRUVs","FH47",114.8488721,-33.90618897,43.5,5,"20201013","2020-10_south-west_stereo-BRUVs.FH47"
"2020-10_south-west_stereo-BRUVs","FH48",114.8138721,-33.79618897,48.5,3,"20201012","2020-10_south-west_stereo-BRUVs.FH48"
"2020-10_south-west_stereo-BRUVs","FH5",114.9413721,-33.69368897,44.5,10,"20201017","2020-10_south-west_stereo-BRUVs.FH5"
"2020-10_south-west_stereo-BRUVs","FH51",114.8538721,-33.90618897,43,18,"20201013","2020-10_south-west_stereo-BRUVs.FH51"
"2020-10_south-west_stereo-BRUVs","FH52",114.8888721,-33.99118897,42.1,8,"20201013","2020-10_south-west_stereo-BRUVs.FH52"
"2020-10_south-west_stereo-BRUVs","FH56",114.8663721,-33.83118897,43.5,5,"20201012","2020-10_south-west_stereo-BRUVs.FH56"
"2020-10_south-west_stereo-BRUVs","FH57",114.8113721,-33.78868897,45.8,1,"20201012","2020-10_south-west_stereo-BRUVs.FH57"
"2020-10_south-west_stereo-BRUVs","FH58",114.8413721,-33.66368897,45.1,3,"20201012","2020-10_south-west_stereo-BRUVs.FH58"
"2020-10_south-west_stereo-BRUVs","FH6",114.8213721,-33.70618897,46,3,"20201012","2020-10_south-west_stereo-BRUVs.FH6"
"2020-10_south-west_stereo-BRUVs","FH60",114.8213721,-33.81618897,44.5,1,"20201012","2020-10_south-west_stereo-BRUVs.FH60"
"2020-10_south-west_stereo-BRUVs","FH61",114.8638721,-33.84118897,43.9,11,"20201012","2020-10_south-west_stereo-BRUVs.FH61"
"2020-10_south-west_stereo-BRUVs","FH62",114.8813721,-33.75618897,45.1,2,"20201017","2020-10_south-west_stereo-BRUVs.FH62"
"2020-10_south-west_stereo-BRUVs","FH66",114.9363721,-33.90618897,41.8,16,"20201029","2020-10_south-west_stereo-BRUVs.FH66"
"2020-10_south-west_stereo-BRUVs","FH68",114.8288721,-33.95118897,44.5,4,"20201013","2020-10_south-west_stereo-BRUVs.FH68"
"2020-10_south-west_stereo-BRUVs","FH69",114.8038721,-33.69618897,46.9,4,"20201012","2020-10_south-west_stereo-BRUVs.FH69"
"2020-10_south-west_stereo-BRUVs","FH7",114.8788721,-33.78368897,45,4,"20201017","2020-10_south-west_stereo-BRUVs.FH7"
"2020-10_south-west_stereo-BRUVs","FH71",114.8188721,-33.88368897,45.3,7,"20201013","2020-10_south-west_stereo-BRUVs.FH71"
"2020-10_south-west_stereo-BRUVs","FH74",114.8063721,-33.73118897,44.9,14,"20201012","2020-10_south-west_stereo-BRUVs.FH74"
"2020-10_south-west_stereo-BRUVs","FH77",114.8763721,-33.99618897,42,1,"20201013","2020-10_south-west_stereo-BRUVs.FH77"
"2020-10_south-west_stereo-BRUVs","FH79",114.8088721,-33.88618897,44.9,11,"20201013","2020-10_south-west_stereo-BRUVs.FH79"
"2020-10_south-west_stereo-BRUVs","FH8",114.8013721,-33.72368897,43.9,10,"20201012","2020-10_south-west_stereo-BRUVs.FH8"
"2020-10_south-west_stereo-BRUVs","FH84",114.7988721,-33.73368897,45.6,4,"20201012","2020-10_south-west_stereo-BRUVs.FH84"
"2020-10_south-west_stereo-BRUVs","FH87",114.8938721,-33.92868897,43.8,7,"20201029","2020-10_south-west_stereo-BRUVs.FH87"
"2020-10_south-west_stereo-BRUVs","FH92",114.8713721,-33.84368897,44.2,6,"20201012","2020-10_south-west_stereo-BRUVs.FH92"
"2020-10_south-west_stereo-BRUVs","FH93",114.8688721,-33.77618897,43.3,24,"20201017","2020-10_south-west_stereo-BRUVs.FH93"
"2020-10_south-west_stereo-BRUVs","FH96",114.8338721,-33.81868897,44.9,6,"20201012","2020-10_south-west_stereo-BRUVs.FH96"
"2020-10_south-west_stereo-BRUVs","FHCO2",114.813293,-33.72358,42,6,"20201012","2020-10_south-west_stereo-BRUVs.FHCO2"
"2020-10_south-west_stereo-BRUVs","FHCO3",114.819555,-33.948622,44.5,15,"20201013","2020-10_south-west_stereo-BRUVs.FHCO3"
"2020-10_south-west_stereo-BRUVs","IO102",114.9113721,-34.07118897,45.2,16,"20201029","2020-10_south-west_stereo-BRUVs.IO102"
"2020-10_south-west_stereo-BRUVs","IO126",114.8188721,-34.11368897,58.2,4,"20201015","2020-10_south-west_stereo-BRUVs.IO126"
"2020-10_south-west_stereo-BRUVs","IO130",114.8763721,-33.98118897,41.1,2,"20201013","2020-10_south-west_stereo-BRUVs.IO130"
"2020-10_south-west_stereo-BRUVs","IO132",114.8713721,-33.99118897,42.6,7,"20201013","2020-10_south-west_stereo-BRUVs.IO132"
"2020-10_south-west_stereo-BRUVs","IO133",114.8663721,-33.99118897,40.8,15,"20201013","2020-10_south-west_stereo-BRUVs.IO133"
"2020-10_south-west_stereo-BRUVs","IO134",114.8613721,-33.98368897,41.2,4,"20201013","2020-10_south-west_stereo-BRUVs.IO134"
"2020-10_south-west_stereo-BRUVs","IO145",114.8238721,-33.98618897,45.5,1,"20201013","2020-10_south-west_stereo-BRUVs.IO145"
"2020-10_south-west_stereo-BRUVs","IO146",114.8213721,-33.97618897,45.7,1,"20201013","2020-10_south-west_stereo-BRUVs.IO146"
"2020-10_south-west_stereo-BRUVs","IO147",114.8313721,-33.98118897,44,1,"20201013","2020-10_south-west_stereo-BRUVs.IO147"
"2020-10_south-west_stereo-BRUVs","IO15",114.8663721,-34.06118897,40.8,16,"20201016","2020-10_south-west_stereo-BRUVs.IO15"
"2020-10_south-west_stereo-BRUVs","IO152",114.8688721,-33.98118897,41.2,2,"20201013","2020-10_south-west_stereo-BRUVs.IO152"
"2020-10_south-west_stereo-BRUVs","IO158",114.8188721,-33.98118897,44.6,1,"20201013","2020-10_south-west_stereo-BRUVs.IO158"
"2020-10_south-west_stereo-BRUVs","IO195",114.8588721,-34.09368897,43.4,7,"20201016","2020-10_south-west_stereo-BRUVs.IO195"
"2020-10_south-west_stereo-BRUVs","IO199",114.8613721,-34.08618897,42.1,5,"20201016","2020-10_south-west_stereo-BRUVs.IO199"
"2020-10_south-west_stereo-BRUVs","IO201",114.8338721,-34.05618897,45.3,1,"20201015","2020-10_south-west_stereo-BRUVs.IO201"
"2020-10_south-west_stereo-BRUVs","IO210",114.8738721,-34.09118897,43.5,1,"20201016","2020-10_south-west_stereo-BRUVs.IO210"
"2020-10_south-west_stereo-BRUVs","IO211",114.9063721,-34.05618897,43.5,17,"20201029","2020-10_south-west_stereo-BRUVs.IO211"
"2020-10_south-west_stereo-BRUVs","IOC06",114.876372,-34.048689,41.5,17,"20201016","2020-10_south-west_stereo-BRUVs.IOC06"
"2020-10_south-west_stereo-BRUVs","IO224",114.8388721,-34.06118897,43.6,1,"20201015","2020-10_south-west_stereo-BRUVs.IO224"
"2020-10_south-west_stereo-BRUVs","IO228",114.7938721,-34.00368897,50.4,1,"20201019","2020-10_south-west_stereo-BRUVs.IO228"
"2020-10_south-west_stereo-BRUVs","IO245",114.9013721,-34.00868897,42.3,2,"20201019","2020-10_south-west_stereo-BRUVs.IO245"
"2020-10_south-west_stereo-BRUVs","IO263",114.8788721,-34.00868897,42.4,12,"20201019","2020-10_south-west_stereo-BRUVs.IO263"
"2020-10_south-west_stereo-BRUVs","IO273",114.8213721,-33.99868897,44.9,2,"20201019","2020-10_south-west_stereo-BRUVs.IO273"
"2020-10_south-west_stereo-BRUVs","IO328",114.8213667,-33.99356667,43.8,3,"20201019","2020-10_south-west_stereo-BRUVs.IO328"
"2020-10_south-west_stereo-BRUVs","IO335",114.7939833,-34.06686667,58,1,"20201015","2020-10_south-west_stereo-BRUVs.IO335"
"2020-10_south-west_stereo-BRUVs","IO336",114.8663667,-34.0924,43.2,1,"20201016","2020-10_south-west_stereo-BRUVs.IO336"
"2020-10_south-west_stereo-BRUVs","IO339",114.8785,-34.01461667,41.1,1,"20201019","2020-10_south-west_stereo-BRUVs.IO339"
"2020-10_south-west_stereo-BRUVs","IO34",114.8713721,-34.06118897,41.3,4,"20201016","2020-10_south-west_stereo-BRUVs.IO34"
"2020-10_south-west_stereo-BRUVs","IO354",114.84,-34.06605,45,15,"20201015","2020-10_south-west_stereo-BRUVs.IO354"
"2020-10_south-west_stereo-BRUVs","IO66",114.8813721,-34.01618897,42.8,6,"20201019","2020-10_south-west_stereo-BRUVs.IO66"
"2020-10_south-west_stereo-BRUVs","IO72",114.8463721,-34.03618897,43.6,1,"20201019","2020-10_south-west_stereo-BRUVs.IO72"
"2020-10_south-west_stereo-BRUVs","IO73",114.8588721,-34.02868897,40.4,11,"20201019","2020-10_south-west_stereo-BRUVs.IO73"
"2020-10_south-west_stereo-BRUVs","IO74",114.8513721,-34.02868897,42.2,15,"20201019","2020-10_south-west_stereo-BRUVs.IO74"
"2020-10_south-west_stereo-BRUVs","IO75",114.8538721,-34.03368897,42.2,9,"20201019","2020-10_south-west_stereo-BRUVs.IO75"
"2020-10_south-west_stereo-BRUVs","IO80",114.8888721,-34.09368897,41.6,9,"20201016","2020-10_south-west_stereo-BRUVs.IO80"
"2020-10_south-west_stereo-BRUVs","IO81",114.8913721,-34.09868897,42,2,"20201016","2020-10_south-west_stereo-BRUVs.IO81"
"2020-10_south-west_stereo-BRUVs","IO92",114.8863721,-34.09868897,42.3,4,"20201016","2020-10_south-west_stereo-BRUVs.IO92"
"2020-10_south-west_BOSS","FH92",114.8714,-33.8437,44.1,8,"20201020","2020-10_south-west_BOSS.FH92"
"2020-10_south-west_BOSS","FH27",114.8714,-33.8362,42.8,3,"20201020","2020-10_south-west_BOSS.FH27"
"2020-10_south-west_BOSS","FH56",114.8664,-33.8312,41.9,11,"20201020","2020-10_south-west_BOSS.FH56"
"2020-10_south-west_BOSS","FH26",114.8289,-33.8112,43.9,2,"20201020","2020-10_south-west_BOSS.FH26"
"2020-10_south-west_BOSS","FH110",114.8214,-33.8087,44.9,1,"20201020","2020-10_south-west_BOSS.FH110"
"2020-10_south-west_BOSS","FH48",114.8139,-33.7962,45,7,"20201020","2020-10_south-west_BOSS.FH48"
"2020-10_south-west_BOSS","FH21",114.8089,-33.7937,46.3,17,"20201020","2020-10_south-west_BOSS.FH21"
"2020-10_south-west_BOSS","FH18",114.8214,-33.7912,45.1,3,"20201020","2020-10_south-west_BOSS.FH18"
"2020-10_south-west_BOSS","FH57",114.8114,-33.7887,44.2,7,"20201020","2020-10_south-west_BOSS.FH57"
"2020-10_south-west_BOSS","FH34",114.8839,-33.7862,44.6,7,"20201020","2020-10_south-west_BOSS.FH34"
"2020-10_south-west_BOSS","FH20",114.8739,-33.7862,42.4,9,"20201020","2020-10_south-west_BOSS.FH20"
"2020-10_south-west_BOSS","FH93",114.8689,-33.7762,44.3,13,"20201020","2020-10_south-west_BOSS.FH93"
"2020-10_south-west_BOSS","FH44",114.8639,-33.7712,44.5,17,"20201020","2020-10_south-west_BOSS.FH44"
"2020-10_south-west_BOSS","FH62",114.8814,-33.7562,45.2,2,"20201020","2020-10_south-west_BOSS.FH62"
"2020-10_south-west_BOSS","260",114.9164,-33.9712,46.1,5,"20201030","2020-10_south-west_BOSS.260"
"2020-10_south-west_BOSS","259",114.9214,-33.9687,46.3,2,"20201030","2020-10_south-west_BOSS.259"
"2020-10_south-west_BOSS","258",114.9139,-33.9662,46.2,8,"20201030","2020-10_south-west_BOSS.258"
"2020-10_south-west_BOSS","152",114.8689,-33.9812,41.9,4,"20201030","2020-10_south-west_BOSS.152"
"2020-10_south-west_BOSS","134",114.8614,-33.9837,41.3,5,"20201030","2020-10_south-west_BOSS.134"
"2020-10_south-west_BOSS","133",114.8664,-33.9912,40.5,21,"20201030","2020-10_south-west_BOSS.133"
"2020-10_south-west_BOSS","132",114.8714,-33.9912,42.7,21,"20201030","2020-10_south-west_BOSS.132"
"2020-10_south-west_BOSS","FH77",114.8764,-33.9962,42,1,"20201030","2020-10_south-west_BOSS.FH77"
"2020-10_south-west_BOSS","FH52",114.8889,-33.9912,42.8,14,"20201030","2020-10_south-west_BOSS.FH52"
